NAME	CODE	POLYID	core	periphery	NATION	CNTRYNAME	GDP89	GDP90	GDP91	GROWTH	MANUF80	MANUF89	AGRI	XCOO	YCOO	INV
Zuid-Holland	NL33	125	1	0	31	Netherlands	9.598286	9.662167	9.650199	0.047844	0.226957	0.181978	0.036908	4.502344	51.968775	0.224935
Zeeland	NL34	126	1	0	31	Netherlands	9.632353	9.650374	9.623907	0.031439	0.293331	0.226556	0.062655	3.846191	51.417093	0.227322
Noord-Brabant	NL41	127	1	0	31	Netherlands	9.519250	9.583675	9.585906	0.051560	0.354364	0.311926	0.044612	5.090549	51.521284	0.247491
Limburg	NL42	128	1	0	31	Netherlands	9.464232	9.509333	9.488817	0.047840	0.342435	0.300788	0.043698	5.898000	51.139952	0.257913
Norte	PT11	129	0	1	351	Portugal	8.305051	8.460136	8.569581	0.079748	0.341436	0.331609	0.201859	-7.834855	41.499273	0.233696
Centro	PT12	130	0	1	351	Portugal	8.233559	8.386857	8.476490	0.085590	0.228001	0.220014	0.326083	-7.967024	40.231785	0.271614
Lisboa e Vale do Tejo	PT13	131	0	1	351	Portugal	8.704013	8.877675	8.997900	0.081170	0.260427	0.204023	0.095146	-8.950841	38.956269	0.271614
Alentejo	PT14	132	0	1	351	Portugal	8.430288	8.513306	8.529434	0.064957	0.130438	0.132337	0.328672	-8.120986	38.307714	0.271614
Algarve	PT15	133	0	1	351	Portugal	8.510933	8.659508	8.768200	0.080066	0.128501	0.060295	0.222799	-8.175236	37.147573	0.272821
North East	UKC	134	1	0	44	United Kingdom	9.304322	9.341882	9.332102	0.048891	0.279661	0.214449	0.015651	-1.560597	55.109181	0.219934
South West	UKK	135	1	0	44	United Kingdom	9.424590	9.465424	9.460606	0.052184	0.224378	0.175712	0.036714	-3.858506	50.650366	0.251668
Wales	UKL	136	1	0	44	United Kingdom	9.311983	9.344360	9.332533	0.049386	0.243084	0.193653	0.046100	-4.320084	52.319144	0.239672
Scotland	UKM	137	0	1	44	United Kingdom	9.402632	9.464932	9.477299	0.056236	0.238078	0.177066	0.029938	-4.945480	57.537870	0.203093
Northern Ireland	UKN	138	0	1	44	United Kingdom	9.193143	9.267991	9.292926	0.057987	0.232573	0.182728	0.061389	-6.376677	54.568539	0.271405
North West	UKD	139	1	0	44	United Kingdom	9.393053	9.423680	9.408832	0.049708	0.295851	0.224562	0.014063	-3.306740	54.096169	0.186979
Yorkshire and the Humber	UKE	140	1	0	44	United Kingdom	9.379601	9.418167	9.412016	0.051587	0.297792	0.220895	0.020279	-0.590452	53.951170	0.200274
East Midlands	UKF	141	1	0	44	United Kingdom	9.442832	9.477248	9.468023	0.049864	0.329362	0.263580	0.024136	-0.414827	53.033874	0.198618
West Midlands	UKG	142	1	0	44	United Kingdom	9.394515	9.431770	9.422665	0.055001	0.360311	0.275200	0.021919	-2.340722	52.453801	0.220671
Eastern	UKH	143	1	0	44	United Kingdom	9.455740	9.485416	9.469738	0.055202	0.268454	0.192739	0.028686	0.805048	52.657319	0.265112
London	UKI	144	1	0	44	United Kingdom	9.880998	9.974564	9.902757	0.051575	0.174281	0.110814	0.001510	-0.089018	51.491224	0.266250
South East	UKJ	145	1	0	44	United Kingdom	9.493818	9.535759	9.531041	0.062384	0.226036	0.165483	0.020985	0.065168	51.289410	0.271691
